mu,sigma,draw
0.0442045377085721,0.4928524925644156,1
0.062375759500803526,0.48956135931822975,2
4.469643180749301e-4,0.5160547603244092,3
0.012564179008563147,0.46046850302110526,4
0.017422659234670713,0.5223332186905594,5
0.03995554508597182,0.5058520463820374,6
0.022352696652060695,0.45563054902408434,7
0.024729713026849433,0.47615715332929714,8
0.006156339246538161,0.4746849503059509,9
0.035174422846895044,0.48004401360415244,10
0.01008832247395179,0.46906719116073453,11
-0.015241086250378798,0.4820613327342095,12
0.009872276953441887,0.48588564983260696,13
0.011527450631693166,0.49752642672075076,14
0.03813643448023672,0.4896212215910163,15
-0.00568715667587591,0.4804950141222516,16
0.04412454491240311,0.4944978045544706,17
0.023120799984204805,0.49275084237886624,18
0.0013988930961460373,0.5080035278310313,19
0.03594487301228442,0.49627149087025174,20
-0.010984299878315654,0.450957880969367,21
0.030770410619080108,0.48111221528838227,22
0.042104279556562756,0.45985308465018815,23
0.026484110596175076,0.4790768419485935,24
0.0039471611920934005,0.5014659982395695,25
0.028888653794329314,0.5014540714903196,26
-0.0086689466523256,0.48282244961576776,27
-0.006399626837579124,0.47373659712776905,28
0.009971585391081252,0.4742540724392709,29
0.02658046844431693,0.4881539465909138,30
0.028497773881201078,0.4951066589754625,31
0.014516094613388653,0.4996634433857865,32
0.029856335052563493,0.4898537649232664,33
0.015102553239012705,0.5065509771140537,34
-0.017351186264050154,0.4779561184187267,35
-0.0024931908140860665,0.5010549918828773,36
0.011806788121789834,0.47719673474033375,37
0.014444751599586038,0.4676555868457338,38
0.02081951871564288,0.49918676725673694,39
0.015817329709483602,0.4794676788970457,40
0.026243582917963568,0.45864414878953225,41
0.0038557953887512634,0.49628509629184897,42
0.004187403796298518,0.4910086223170308,43
0.02166737005039633,0.4911483255390975,44
0.03662851232203579,0.5133137196944234,45
0.010184299272897355,0.4616548146488123,46
0.023580954767088456,0.4909704177062039,47
-0.0029188971886818793,0.5177199044141455,48
-0.0026928039194571967,0.4765048663069323,49
0.0026134012827813066,0.4665491019509974,50
0.018283853070682882,0.4819063459529113,51
0.0018548743132137482,0.49405417479157215,52
0.022175861216124075,0.4918820887034962,53
0.021806694969234465,0.5093863013177922,54
0.05615246882866429,0.49472440884463403,55
0.023051276757701727,0.47247068251196156,56
0.02504703074097609,0.5121594589338793,57
0.02860252295962823,0.4795865291635431,58
0.02488982296943079,0.4965409832558963,59
0.013553937781643561,0.5013834901295681,60
0.026570675248855227,0.4835288140566551,61
0.012529003222983833,0.47119677808401955,62
-7.279391380841699e-4,0.47819205913258467,63
0.05357130626703132,0.5080857965352151,64
0.007272139533951824,0.4701351933939961,65
0.016876817842876406,0.4877278613463334,66
-0.03598501545452364,0.4946341643290212,67
0.03260842011716898,0.5064510797002539,68
-0.028661640427788702,0.48963374950743394,69
-0.014668398371412839,0.49545697325675814,70
0.018304613163860093,0.4834593927613211,71
0.008406795915046658,0.46354055583090453,72
0.009095466044245716,0.4855494634098466,73
0.018787132113540186,0.4907889980734982,74
0.007798270862248787,0.4776982747117479,75
0.04321339660321886,0.48688480088367375,76
-0.018467366883282696,0.5081640559065572,77
-0.018872504527776685,0.5088329383343313,78
-0.0016881387441470544,0.4839237708738205,79
-0.002755005030665087,0.46866584774887676,80
0.030606232016783762,0.48811071104907544,81
0.002596909173959018,0.4849950165759504,82
0.025780797059712517,0.5108362625740388,83
0.006683621874325238,0.4777613215104165,84
0.0042323422048652975,0.49543936067972655,85
0.0014987305582344788,0.4891423351566221,86
0.009992943613966344,0.5181812100293736,87
0.006643523839282378,0.4803372653135132,88
0.023619805535197894,0.4809691080574854,89
-0.005552477302771414,0.49033388954573925,90
0.02260434518650901,0.4669634373049363,91
-7.932629285896326e-4,0.4600113613790015,92
0.011091519417758905,0.5019171349328932,93
0.042157422969230904,0.5320912517637023,94
0.022374365295490802,0.520448553554167,95
0.004299031548307825,0.47771964448452026,96
0.03376319576598946,0.4888965238490394,97
0.01130417158863467,0.4648473601637041,98
0.014892287645128767,0.49009722624116414,99
0.05438289610410794,0.4947252149396795,100
0.0428290384811556,0.48916702804372963,101
-0.0076642740839941124,0.47590811439175673,102
0.03939728327757033,0.5119573441612396,103
0.01427404638884876,0.4841051931006873,104
0.011831313243929335,0.48507284859790023,105
0.021177822407108898,0.49258037884454703,106
0.04554683128528568,0.49684458110199664,107
0.030808048168421573,0.49932518912120094,108
0.015268556672779062,0.48927496633893663,109
0.0474912665296679,0.4744697038095766,110
0.02128978831912453,0.4687064604634274,111
0.04192555093506341,0.4828135622364906,112
0.00871808082154799,0.5217471714006349,113
-5.638315107936782e-4,0.49613268326586163,114
0.02229326722340808,0.48798841743258603,115
0.011780751863281234,0.5002459445961539,116
0.029182317178693667,0.47354408536825526,117
0.004193065696061692,0.5227999509827412,118
0.03111346040492935,0.47112122361787034,119
0.012176673012627006,0.48632164902331393,120
0.029000238265881627,0.46945288158512827,121
0.022718014068619004,0.44875818922825816,122
0.013382362651862609,0.47711410404754584,123
0.06731756109952058,0.5131769401616805,124
0.026163403274589374,0.4863920705540428,125
0.020688693771511786,0.47481476760533564,126
0.01517484761126031,0.4863838838856772,127
0.01505315672056052,0.47566016664983496,128
0.01749069706077927,0.4825705837555228,129
0.056188420462235524,0.46958292246615724,130
0.006640126292746863,0.4971346662740979,131
0.04963497927799452,0.47594519371147503,132
0.03666037533518938,0.48871161487417836,133
0.02863535512752581,0.4556739372102227,134
0.0010688404850170525,0.5225606559680318,135
0.007044511445174069,0.48788159101837353,136
0.028195597195564102,0.4807726130760981,137
0.03031517666258479,0.4711672203043171,138
0.02024866552198456,0.4706983090456368,139
0.015714533899448834,0.4900415824182339,140
0.0211841912386377,0.5120281765786331,141
0.02188264203009814,0.5078495909248688,142
0.030520228624553218,0.5115277301605495,143
0.021825465300446593,0.48954754335078454,144
0.014255189240102209,0.48718784590664094,145
0.04094075803089611,0.5139381106983769,146
0.02100573128729266,0.4651115844779135,147
0.016971841203106672,0.5005009346967775,148
0.020261855388835886,0.5067325667705432,149
0.029267742050740498,0.45505613605387996,150
0.03726866833368288,0.49770241316439834,151
0.011791221948854652,0.5059466465072443,152
6.889746948426246e-4,0.47950172622227866,153
0.010311496560535614,0.4944582512325649,154
0.023795486086434,0.4948540533432341,155
0.015571923709496902,0.4744046762316085,156
0.01525804168008419,0.5019716922495447,157
0.0035920953008492596,0.47056410649483504,158
0.004038498177435174,0.47708639758964677,159
0.029875675144421555,0.4902825718667881,160
0.02414839318932731,0.4925724400826742,161
0.03436719376000956,0.4843869344067951,162
0.04509876509131239,0.48068323751764497,163
0.0282241413699656,0.4723122182761108,164
0.031196048929284667,0.48229542613437404,165
0.014012805134199734,0.4930896651847916,166
-0.004778343009854632,0.4857567298759008,167
0.037309615968106266,0.5084012649045984,168
0.029112017334453035,0.4892278163994502,169
0.038208391965834,0.5011570136572678,170
0.022432490310104962,0.47859999004135045,171
0.007297150968585395,0.4878905842743062,172
0.029994410234426505,0.48470592465623225,173
-0.005218292254168232,0.49496681002329573,174
0.03192610757580448,0.5067565733660371,175
0.020314396228741927,0.4928023015933373,176
0.05551553474234309,0.48320342773242986,177
0.039085384328507514,0.482703223801745,178
0.019774869171502053,0.4773436448103917,179
0.006168486448479901,0.49374938358920095,180
0.014717819342634723,0.48667173662188984,181
0.011142527080676121,0.48625440548612625,182
0.03547075056349733,0.4778038933644407,183
-0.008138012657158012,0.47400768818926314,184
0.026963925327635307,0.4707282458281008,185
0.0257060811555276,0.45973847190945,186
0.01025557931157116,0.49953551496430343,187
0.027143098459279955,0.4804948680547412,188
0.019163555887321767,0.48918833347296914,189
0.024078235717174098,0.5043678088257103,190
0.01038901812938818,0.4838205145326342,191
0.01694890619966997,0.476068906025758,192
0.021510906914616768,0.4915482437879032,193
0.0036877175865177147,0.4973863888800295,194
0.002725435370377816,0.48409936207920085,195
0.015667525226036164,0.46985208609548335,196
1.132156945385275e-4,0.4890389398860866,197
0.017807807922303215,0.4755589879328043,198
0.001682170621953461,0.4935921579061614,199
0.03609551614396074,0.479139107890978,200
0.003944302170589291,0.49118229124759255,201
0.017566975374476122,0.5127419362127493,202
0.002458469690705828,0.49799512762346626,203
0.0426864161375715,0.4895182599547093,204
0.02461104463115994,0.48431446047006094,205
-0.0021031417322791074,0.4850480293662527,206
0.0395430118133323,0.5024267586640789,207
0.014312529662448609,0.4738525983632453,208
-0.0012998552274380874,0.5157410495434568,209
0.027107650395977834,0.4859976942177757,210
0.01498401247746402,0.4848293552025337,211
0.037182380398898686,0.48520896938176167,212
0.021239548943500306,0.45381160474892035,213
-0.018074381992008098,0.46853834275014405,214
0.03874335161000859,0.48730450154650967,215
0.0300695483926622,0.4820727469668186,216
0.03388931617853541,0.4828262161926072,217
0.015738328311681683,0.4894123160813464,218
0.058930074209576314,0.49932522584462324,219
0.05018183950784348,0.48783066115500817,220
0.012546784715250604,0.5031900066701535,221
0.0070337418781407845,0.4693663839827594,222
0.03068417688398413,0.4978874375636078,223
